,title,money,authors,genre
80,38億年の叡智とつながる・未来を開く5秒の習慣 (共育ブックス),￥99,['舞香（文）'],nan
79,図解　ギリシア神話 歴史がおもしろいシリーズ,￥297,nan,nan
78,海外ドラマはたった350の単語でできている [英語マスターシリーズ],￥297,['Cozy'],nan
77,ナンパ初心者のための声かけ会話の教科書,"￥1,250",['零時レイ'],nan
76,まんがで鍛える 脳の強化書―――私、成長したいんです・・・(Business ComicSeries),"￥1,254",['加藤俊徳'],nan
75,トラウマ　ララバイ,￥99,nan,nan
74,起業で絶対に失敗したくない人の為の 科学的な第三のフリーランス起業術 ～スモールスタートアップ～,￥99,['小林正弥'],nan
73,21世紀のビジネスにデザイン思考が必要な理由,"￥1,408",['佐宗邦威'],nan
72,地球の歩き方 ガチ冒険～地球の歩き方社員の旅日記～ (地球の歩き方D-Books),￥99,['地球の歩き方ガチ冒険事業部'],nan
71,１週間で８割捨てる技術,"￥1,287",['筆子'],nan
70,潜在意識の使い方を間違っていました！: 意識が変われば体も変わる,￥99,['アレクサンダー・ロイド'],nan
69,大麻ビジネス最前線: Green Rush in 21st century (未来文庫),￥680,['佐久間裕美子'],nan
68,「統計学」のマージャン戦術 (近代麻雀戦術シリーズ),"￥1,287",['みーにん'],nan
67,超カンタンにわかる！麻雀入門　牌、役、アガリこれだけ覚えればバッチリ！,"￥1,024",['主婦の友社'],nan
66,「わかりやすい」文章を書く全技術100,￥99,['高橋俊一'],nan
65,「無理」の構造 ―この世の理不尽さを可視化する,"￥1,555",['細谷功'],nan
64,あなたを変える52の心理ルール (中経の文庫),￥634,['メンタリスト\u3000ＤａｉＧｏ'],nan
63,『引き寄せの法則』を正しく理解して活用する方法: 【左脳系スピリチュアル文庫】シークレットやエイブラハムでも語られなかった引き寄せの真実 １コインで学ぶ真理,￥450,['佐川奈津子'],nan
62,マラソンと食事: 伝統食とアミノ酸で、フルマラソンを制する (22世紀アート),￥500,['大畑誠也'],nan
61,内向型を強みにする,￥800,['マーティ・O・レイニー'],nan
60,ハリー・ポッターと賢者の石: Harry Potter and the Philosopher's Stone ハリー・ポッタ (Harry Potter),￥600,['J.K. Rowling'],nan
59,人生が整う 家事の習慣,￥297,nan,nan
58,たった１分で人生が変わる 片づけの習慣 (中経の文庫),￥565,['小松易'],nan
57,毎日パパッと、整う暮らし　わたしの「家じかん」ルール,"￥1,089",['インプレス書籍編集部'],nan
56,仕事が速いのにミスしない人は、何をしているのか？,"￥1,372",['飯野謙次'],nan
55,セックスしたがる男、愛を求める女,￥990,"['アラン・ピーズ', 'バーバラ・ピーズ']",nan
54,1時間でわかるビットコイン入門　～1円から送る・使う・投資する～ (NextPublishing),￥550,['小田 玄紀'],nan
53,Pythonでの自動化・仕事効率化入門 - スクレイピング編 - Pythonを使って仕事を楽にしよう。,￥540,['Al Sweigart'],nan
52,Pythonでの自動化・仕事効率化入門 - Excel編 - Pythonを使って仕事を楽にしよう,￥540,['田中 賢一郎'],nan
51,Pythonでブラウザを自動操作してみよう,￥300,['大澤文孝'],プログラミング
50,PythonでGUI自動化をしよう: マウス＆キーボード,￥250,['Al Sweigart'],nan
49,ナショナル ジオグラフィック日本版　2017年5月号 [雑誌],"￥1,029",['ナショナルジオグラフィック'],nan
48,Pythonスクレイピングの基本と実践 データサイエンティストのためのWebデータ収集術 impress top gearシリーズ,"￥3,267","['Seppe vanden Broucke', 'Bart Baesens']",プログラミング
47,Python Flask 人工知能API 超入門 -  Python 人工知能 API を使った LINE bot(ラインボット) を作ろう,￥500,['金城辰一郎'],nan
46,プログラミング超初心者が初心者になるためのPython入門（１）　セットアップ・文字列・数値編,￥250,['田中 賢一郎'],nan
45,Pythonゲームプログラミング　知っておきたい数学と物理の基本 (Future Coders（NextPublishing）),"￥2,574",['田中 賢一郎'],nan
44,Pythonの文法は覚えたけど「じゃあこれで何ができるんだ？」と思っている人のための本,￥250,['田中 賢一郎'],nan
43,新装版　問題解決のためのデータ分析,"￥1,485",['齋藤 健太'],nan
42,１問1答でわかる。はじめてのPythonプログラミング,￥380,"['松浦健一郎', '司ゆき']",nan
41,Pythonをおぼえた人がGUIアプリケーション開発をするためのtkinter速習入門: 標準ライブラリでGUI作成,￥350,['浅野 一雄'],nan
40,プログラミング超初心者が初心者になるためのPython入門（２）　リスト・タプル・ディクショナリ・if・for ループ編,￥250,['とおやまただし'],プログラミング
39,Python3 + Django2.0入門 - Pythonで作るWebアプリケーション開発入門 - その１,"￥1,084",['掌田津耶乃'],プログラミング
38,人工知能プログラミングのための数学がわかる本,"￥2,475",['石川\u3000聡彦'],プログラミング
37,マンガと図解でスッキリわかる　プログラミングのしくみ,"￥2,090",['大槻有一郎'],プログラミング
36,Pythonの文法を覚えた人がもっと理解を深めるための本,￥350,['田中 賢一郎'],nan
35,新MT4対応 FXメタトレーダープログラミング入門,￥900,['豊嶋久道'],nan
34,プログラミング超初心者が初心者になるためのPython入門（３） 関数・クラス編,￥250,['とおやまただし'],プログラミング
33,Python3エンジニア認定基礎試験問題集　第3版,"￥1,200",['グイド・ファンロッサム'],nan
32,Pythonで作るはじめてのサーバレスアプリケーション,"￥1,080","['長谷場 潤也', '安田 譲']",nan
31,英検準1級英単語4100: 楽々合格を目指す。すこし難しめ。発音記号付き。 英検単語シリーズ,￥185,['山田孝雄'],nan
30,iPadはかどる！便利技（全iPad対応の最新版）,"￥1,300","['小原裕太', '栗原亮', '松山茂']",nan
29,iPad完全マニュアル2020（全機種対応／iPadOSの基本から活用技まで詳細解説）,"￥1,100",nan,nan
28,iPad完全マニュアル2019,￥880,nan,nan
27,会社では教えてもらえない　仕事が速い人の手帳・メモのキホン 【会社では教えてもらえないシリーズ】,"￥1,386",['伊庭正康'],nan
26,１日ひとつだけ、強くなる。,￥708,['梅原大吾'],nan
25,会社では教えてもらえない　仕事がデキる人の資料作成のキホン 【会社では教えてもらえないシリーズ】,￥850,['永田 豊志'],nan
24,「超」AI整理法　無限にためて瞬時に引き出す,￥817,['野口\u3000悠紀雄'],nan
23,世界一おもしろい　世界史の授業 (中経の文庫),￥382,['宇山\u3000卓栄'],nan
22,わいるどらいふっ！　身近な生きもの観察図鑑,￥440,['一日一種'],nan
21,文系でもよくわかる　世界の仕組みを物理学で知る,"￥1,232",['松原隆彦'],nan
20,仕事の説明書〜あなたは今どんなゲームをしているのか〜 (土日出版),"￥1,200","['西山悠太朗', '小林睦']",nan
19,走る奴なんて馬鹿だと思ってた,￥572,['松久淳'],nan
18,アマテラスの暗号 〈歴史ミステリー小説〉,￥250,['関裕二'],nan
17,iPadはかどる！仕事技(iPadOSにも対応した最新版）,"￥1,320","['小原裕太', '栗原亮', '松山茂']",nan
16,健康の結論,"￥1,109",['堀江\u3000貴文'],nan
15,Google便利すぎる！240のテクニック,￥880,nan,nan
14,プログラミング経験者のためのSwift最速入門,￥250,"['栗原亮', '竹林暁', '沼田哲史', '松尾高明', '氷川りそな']",プログラミング
13,ゼロから始める超入門  はじめてのプログラミング AppleのSwiftでiPhoneアプリをいちから作ろう (Mac Fan Special),"￥1,700","['栗原亮', '竹林暁', '沼田哲史', '松尾高明', '氷川りそな']",プログラミング
12,詳細！Swift2 iPhoneアプリ開発 入門ノート Swift 2+Xcode 7対応,"￥3,498",['加藤勝也'],プログラミング
11,"Beginning iOS 13 & Swift App Development: Develop iOS Apps with Xcode 11, Swift 5, Core ML, ARKit and more (English Edition)","￥1,089",['Rajiv Ramnath'],nan
10,楽しみながら作ってみよう！ はじめてのAndroidアプリプログラミング,"￥2,096",['塚田翔也'],nan
9,JavaからはじめようAndroidプログラミング―Android Studio対応版,"￥2,299",['大津 真'],プログラミング
8,Androidアプリを作ろう [Android Studio 2.1対応版],￥690,['松岡謙治'],プログラミング
7,Web制作者のためのGitHubの教科書 チームの効率を最大化する共同開発ツール Web制作者のための教科書シリーズ,"￥1,881","['塩谷 啓', '紫竹佑騎', '原 一成', '平木 聡']",nan
6,最速の仕事術はプログラマーが知っている,"￥1,318",['清水 亮'],プログラミング
5,"これ1冊でゼロから学べる Webプログラミング超入門　ーHTML,CSS,JavaScript,PHPをまるごとマスター","￥2,801",['掌田津耶乃'],プログラミング
4,６ステップでマスターする　「最新標準」HTML+CSSデザイン（リフロー版）,"￥3,010","['小川裕子', '加藤善規', 'できるシリーズ編集部']",nan
3,できるポケット HTML5&CSS3/2.1全事典 できるポケットシリーズ,"￥1,584","['小川裕子', '加藤善規', 'できるシリーズ編集部']",nan
2,６ステップでマスターする　「最新標準」HTML CSSデザイン（固定レイアウト版）,"￥3,010",['エビスコム'],nan
1,macOS Catalina パーフェクトマニュアル,"￥2,178",['小山香織'],nan
0,iPad便利すぎる!  275のテクニック,￥990,nan,nan
